"DS_CARGO","NM_URNA_CANDIDATO","EXTRA","SG_PARTIDO","SG_UF","PLATAFORMA"
"DEPUTADO ESTADUAL","GRACINHA SOARES","instagram OR facebook OR twitter","SOLIDARIEDADE","PB","Nenhuma"
"DEPUTADO FEDERAL","PEDRO JR BARATA","instagram OR facebook OR twitter","SOLIDARIEDADE","PB","Facebook"
"DEPUTADO FEDERAL","MARILIA GOMES","instagram OR facebook OR twitter","PMB","PB","Nenhuma"
"DEPUTADO ESTADUAL","EDSON PERU","instagram OR facebook OR twitter","REPUBLICANOS","SP","Nenhuma"
"DEPUTADO FEDERAL","ZÉ DA TUIA","instagram OR facebook OR twitter","AVANTE","RJ","Nenhuma"
"DEPUTADO ESTADUAL","MARCONI DANIEL","instagram OR facebook OR twitter","PV","BA","Facebook"
"DEPUTADO ESTADUAL","APARECIDA DE JESUS","instagram OR facebook OR twitter","PP","SP","Nenhuma"
"DEPUTADO ESTADUAL","FABRICIO BIANCHINI","instagram OR facebook OR twitter","DC","SC","Nenhuma"
"DEPUTADO FEDERAL","MIRILANE CAETANO","instagram OR facebook OR twitter","UNIÃO","MG","Nenhuma"
"1º SUPLENTE","GABRIELA GONÇALVES","instagram OR facebook OR twitter","UP","RJ","Nenhuma"
"DEPUTADO ESTADUAL","MARCOS HIDEKI","instagram OR facebook OR twitter","PSC","BA","Nenhuma"
"DEPUTADO ESTADUAL","TONHO PRADO","instagram OR facebook OR twitter","PMN","MG","Website"
"DEPUTADO ESTADUAL","WERNECK","instagram OR facebook OR twitter","PTB","RJ","Nenhuma"
"DEPUTADO ESTADUAL","RICARDO GENOVÊS","instagram OR facebook OR twitter","SOLIDARIEDADE","SP","Nenhuma"
"DEPUTADO ESTADUAL","RENATA BOAVENTURA","instagram OR facebook OR twitter","PRTB","SP","Nenhuma"
"DEPUTADO ESTADUAL","MARCÔNI RODRIGUES","instagram OR facebook OR twitter","PTB","PB","Facebook"
"DEPUTADO FEDERAL","DR CRUZ","instagram OR facebook OR twitter","PTB","BA","Nenhuma"
"DEPUTADO ESTADUAL","JORGE TAMPA","instagram OR facebook OR twitter","PMB","RJ","Facebook"
"DEPUTADO FEDERAL","JOAO BONITO","instagram OR facebook OR twitter","AGIR","BA","Nenhuma"
"DEPUTADO ESTADUAL","ADRIANA MAIA","instagram OR facebook OR twitter","MDB","AC","Nenhuma"
"DEPUTADO ESTADUAL","RODOLFO RODRIGUES","instagram OR facebook OR twitter","MDB","PB","Nenhuma"
"DEPUTADO FEDERAL","PROFESSORA TIA ROSE","instagram OR facebook OR twitter","PTB","SE","Nenhuma"
"DEPUTADO ESTADUAL","ADMILSON SALES","instagram OR facebook OR twitter","PMN","BA","Nenhuma"
"DEPUTADO ESTADUAL","DRA CAROLINA","instagram OR facebook OR twitter","PRTB","PB","Nenhuma"
"DEPUTADO FEDERAL","HERNANI LEONHARDT","instagram OR facebook OR twitter","MDB","SP","Facebook"
"DEPUTADO ESTADUAL","VICENTE OFICIAL","instagram OR facebook OR twitter","PL","PB","Nenhuma"
"DEPUTADO ESTADUAL","MATHEUS MATTUVO","instagram OR facebook OR twitter","SOLIDARIEDADE","MG","Nenhuma"
"DEPUTADO ESTADUAL","ORLANDO EGÍDIO","instagram OR facebook OR twitter","PL","MA","Facebook"
"DEPUTADO FEDERAL","LEONARDO FURTADO","instagram OR facebook OR twitter","PTB","RJ","Nenhuma"
"DEPUTADO ESTADUAL","EDIMILSON GARCIA","instagram OR facebook OR twitter","AVANTE","RJ","Nenhuma"
"DEPUTADO ESTADUAL","CORONEL LINO","instagram OR facebook OR twitter","REPUBLICANOS","RJ","Website"
"DEPUTADO FEDERAL","MARCINHO BUCHECHA","instagram OR facebook OR twitter","PSOL","SP","Nenhuma"
"DEPUTADO ESTADUAL","LULA RODRIGUES","instagram OR facebook OR twitter","SOLIDARIEDADE","RJ","Nenhuma"
"DEPUTADO FEDERAL","SALATIEL RODRIGUES","instagram OR facebook OR twitter","PL","RO","Nenhuma"
"DEPUTADO FEDERAL","MARQUINHOS ALBUQUERQUE","instagram OR facebook OR twitter","PP","MT","Nenhuma"
"DEPUTADO FEDERAL","EDNA PENHA ","instagram OR facebook OR twitter","PSB","SP","Nenhuma"
"DEPUTADO ESTADUAL","BUIU KANNU","instagram OR facebook OR twitter","PSB","BA","Nenhuma"
"DEPUTADO ESTADUAL","MICHELE VICTÓRIO","instagram OR facebook OR twitter","PSB","ES","Nenhuma"
"DEPUTADO FEDERAL","WANDERLEY MORAES","instagram OR facebook OR twitter","UNIÃO","ES","Facebook"
"DEPUTADO FEDERAL","MM MARINHO","instagram OR facebook OR twitter","PTB","RJ","Nenhuma"
"DEPUTADO ESTADUAL","DELEGADO HELI GRILO","instagram OR facebook OR twitter","UNIÃO","MG","Instagram"
"DEPUTADO ESTADUAL","BOILEAU WANDERLEY","instagram OR facebook OR twitter","PL","PB","Facebook"
"DEPUTADO FEDERAL","CHIQUINHO FEITOSA","instagram OR facebook OR twitter","PSDB","CE","Instagram"
"DEPUTADO ESTADUAL","PROFESSOR GILENO MOURA","instagram OR facebook OR twitter","PTB","BA","Instagram"
"DEPUTADO ESTADUAL","RAFAEL BUENO","instagram OR facebook OR twitter","PL","GO","Instagram"
