id,created_at,text,tweet_url,direct_reply,batch_user,hate_score,target_prob,filename
gAAAAABj7UmKTApULNEkvUQxzzpkO2dj4UX5GSdCRLsQMVOYjIEynqEGM6wR02lnIUUuGulMh43yVBY1Mpz0-b4xMcAF3IlTXczaZgtyK142DIw8lgl36wo=,2022-08-16 21:56:26-03:00,"@pastorhenriquev Se é de esquerda,  é bandimdim.",gAAAAABj7UmKCh8izGz_yUrjX_l-ZphbsmFmjtLw_AcNISVrOhG0xtpgHA40EmHdPGTWVAMpl6lGH0HXlz9iCI-NVP2HQm5EcwFK6GGnMBQb8S38zaazWx8hvDObRClfpKD8HC8-yemtTrwERtnNCODCJwjnr7V75g==,1,617468983,0.25257173,0.49221203558112436,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKxQNHYdiqZrvlSxWJpDwhVUd84cSi-1HZYSrTSj_ORtsmIu4gvjikvnF6vzG8hCGkw1BpSO52CGvnvj0WMKjt8p_Y2XRoKIBjrJPEbJ2u4os=,2022-08-17 10:03:21-03:00,"@TandaraCaixeta Lógico que vai entrar pra polícia, já tem tudo que precisa: homofóbica, transfóbica, desonesta, usa droga… já montou o perfil certinho pra conquistar os bolsominions 🤢",gAAAAABj7UmK6Jd-fsQydJCdo8j4kzg52WyqHC7E0Bw6yUl-V4-mBgOS0hP2Vahqc5mCFDSW7pHdWs1N7IHun4hp_7dIw1KpK70hyvZ5L0R8e9MqM2qH36EYZ-DMQD2yR0ESeio0hvA_zzZyT9KqJGqmNMUlPHYFcQ==,1,209315961,0.5719472,0.9920124294898843,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKy0C-qFiqdDMJr87ZOfS6W3eD3VAAPQLet82aWFNxsStnnMytJGYuIG_cpzPjbCTX7Rzd72c6WlYZjXAofmg4dKQL3vRR7MP0WJx2HR0eXRc=,2022-08-17 09:07:47-03:00,@esuplicy @LulaOficial @Haddad_Fernando Ah coitado,gAAAAABj7UmKyIfpqptUIprBFEnGvESfHWXCchMW0yhWsNhDw9KolF2VllYjNRDkbIeu3RIUJRKFeAvQqN4P625ow4mWVUErG69IC_lrSQ51qVrjG-swNHx_e9UA-KO2bdBbgtgKVPA7vc7FGGfWZRRngUdJ3JHqhBznp41fM_IPh3vL1kZrEgE=,1,69373037,0.10147828,0.9960607589872859,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKbw6sYDlvDSihyIa8NeVuCDmaM_u0F1q3zJZZ6fCvo87LRJDuR1pEdmxGQsltJgVqNIg-gKmfzuhBKx8mbOUdfM1uVLtJEogyxGBc9UE3N-8=,2022-08-17 12:02:46-03:00,@FernandaLoubac2 @veramagalhaes Vai babar ovo de político safado kkkk má,gAAAAABj7UmK7sp7HUW77_Hc6jFpZ7nCI6G1bxXv1Ipu1WC3VBn8X7RauSPn5vf5eWfIVgPm2voSSO-qfZoZ4GHvUZej10jsb_30Vv1pcnYIyLWcTN_OPxegMYUpVzdlVIg_R-Y2zFHFKJZJ6bXwyoAqDQ_C9R1m-igDXeo1O2SPa6DidjIKg7Y=,1,1125416190199967744,0.8986042,0.0018188664726266185,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmK7CoB2piSPCUIIX12vl4ZgZDX3qHEj22ZQVrZ0_Q8eEbk0jQi5QGKPTb2XE0mNl6ZBAQbiUlqpGBFVyyTL5P5wY51j0rh6Aa956pPlXJEVUY=,2022-08-17 11:43:55-03:00,"@samiabomfim vendo o Bozo assim fazendo biquinho e de cara amarrada só me vem a cabeça o freddie mercury prateado falando no ouvido dele ""ta com cara de bravo ta? fica tlisti não, fica tlisti não"" kkkkkkkkkkkkkkkkkk",gAAAAABj7UmKblmbbXrL4IliGsoTbW3UehnmQVjM77NKYWVAHl9X_zd-aBAjErDlp2nQUKZMsVqKWd4ILLFtHewd0uhMwN8CjUsa-VFSKvUwlVvEJ4PwXe6xREg2BRrydGGlnJ0rePQD9H5ZTZ3ET32z0laF_3AWpqvxCPwGzwUBG0GtLW_5J6A=,1,27703690,0.72048706,0.9993466084997678,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKdSuU07nwpc9UqxLcCZF-V9ZCcL4BfMVrX-IxLthi2pImOiXDcMQ-vKpAULVrr5JlL-M3SMJX9pp1RyUm_M3BjvpxqnL30qRqBz1tyXFrl14=,2022-08-17 10:25:50-03:00,"@samiabomfim Essa aí deve ter sonhos eróticos com o Bolsonaro, coitado do marido",gAAAAABj7UmKvUePScPFT1_LVFtUy9LV1PqJxxUoKJmBrii3vmMVHb5EXIZ8Hcav1VUWbuDOeqILI9yeqgJ8RiT8ZLH_jiUfXy0pD6yqTVwQ0pn3vPvaiZTXNTItFEs-OclpHNkGbnXi3AUFaJBONArSJD_zW_N5YA7Cm5nQIYFFk-uDeqYfF5A=,1,27703690,0.6368187,0.9420656363324139,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKIz_0CpqeRyjPsdW0-f0iISbEXhIooZNeWzJK0lFWJXunmLLVy4yhegekmQvEwBR7m3uhxKN2PTcpgd9Aps8C9Rbah90cfG7WqAQqqavwNX4=,2022-08-17 09:48:43-03:00,@luizaerundina DOIS MORIBUNDO! FORMOL NA VEIA kkk,gAAAAABj7UmKbpBdtqBs-cDWQgtiLhdlcPvAt0QtSl8U41g_Yt5V8oyAx7XpxSLPFoqh7xsk7mRUrEXQ06MOQoAKTNrBWR7nDQkOT2vvPbia8eq56nLW5Jy392q1wuEyZIjgqrFdnr1DXDFZCwmtTFHYJxjN9j6HpQ==,1,55022037,0.25759396,0.8531914637858597,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKGSJYqk33VukLwaqcMaJ8waEV1GrXcnduYGMoUIHdTlFQXBu9XYf2uGpEmVwFUa-yW6yM7-i9TakQrgcAhDF1ryNqiMIQvH8VfrO-ftGIzgg=,2022-08-17 11:08:36-03:00,"@reportersalles Fernanda, vc acha que proibir é o caminho? Lembra qd proibiram cristianismo em Roma? 🤔",gAAAAABj7UmKLufFUQmuuAUBJGUQ3_lcOjn9IAND_m9E01-nNdTtD4VSjoKE59Kc5RbYcfTgwBDaQgGZ6EWIZ83WX_c-eO1ZJJtWFHqvkjAwsr_zCFpKF7c9ctoSHqiVDWGK5HAmHWVCo8JSW7lXrZIfvKv7-ckITg==,1,64523460,0.013271657,0.8741153544573532,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKisc2i26eOigiZ80DVWFX5KPcikIPF5F_xUwfleGJDFQU26cFKCT1aaXGp192LGL15xmYrMtDXkF2xai2UgxBXS6EsBLoWjOMW3tIvfyYVfw=,2022-08-17 11:38:00-03:00,@monicafraga Pra mim ele sempre parece estar possuído…,gAAAAABj7UmKbLTnjr-chjEVjMz3Gxa0bu_i5Uy71TjcsVqAgmKxVedUdFmNkhJjci13WY325lIUUvIYbHBXY7KH11iBpB9LT_1keteIYiwe-WHEK3RL7spKqq3HPtmJPs1Cm3im60zqnQ6RyA_yIikDzo3uw0gLZxy0b72Mw4o2vy8DJXKJW4U=,1,70207244,0.20483032,0.32933812081224734,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKeheCrKP89xg0waZw_clFmmUMYOOJgPkNohkF76x7DKKMgZ70vtC7iO3pFCMUpIs20KKbieYluk0wEV2ptypw8PoRur_hM9Vwdil34mbXmEU=,2022-08-17 11:33:34-03:00,@monicafraga Tem olhos de gente ruim.,gAAAAABj7UmK1QBSFBOI9Dx51IdI73yxUiZlWo9oRuyLWpcXzSmUfceMO5jKQMHFQTAsdBaHlFIGnqbsyOcON3ypjP1ttrYOSCh0u4uUYSzaUOneqvSirSLAfyeuM7gnLmYerz09X2CWjzd3uLnv5aB9g89Qc3GtjXUZcHxQpvwJhNkApS9rsbM=,1,70207244,0.38308904,0.02947225027630503,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKnogozM4FVPy5vW4KU-puoxi-Hk1GNkkHmCX5QMhyrlmZzDCCwAbgOMepcWiQeL8mX6ber33gWX6xhTSR2Pfhpaa7sbZJrq4T70Kn9JwWVRE=,2022-08-17 13:45:57-03:00,"@deputadomoraes @brom_elisa @jairbolsonaro Imitando norte americano, né pateta? Bobalhão.",gAAAAABj7UmKvcTCWkdlvhfqckg086IJ4yHUOFGg4_OYKCY-Z7iYg53O1c6oIdxQR3oopsz-kwfcVJvfhCS4Y0LmrhHJbL6u0-Bhfal8GPvvGEL8zufACATD4SYBshr24zwkcMTDNeeNqB2u2OUvz_BUcTPAF_WXA63hgEjzvj76Vkm1g0P_rkE=,1,1081341581314150400,0.23057601,0.9256063181110425,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKb9ZMZquKLeSBc-2gDE6esQxU7v4J0tHAzUXHIvlpkAY41Bp_kJR0PxNA5kWNJYwlLs3VhQDZNloypJbrQc6u0CIQ-V-2qILJTN87HefHHcM=,2022-08-17 15:10:37-03:00,@joicehasselmann Sai fora porca traidora!!!,gAAAAABj7UmKoHrk_B1kxttjGoW4e3kiyrSNyZYWQYW4erMnuuSaGvkUmZWI4AgMJdSvrxculwX4BAd-JWHNgyLgSPm_u7-IknvB6Rpqf_cBdbvdz1esfX7rOeWZZ0lMMi66l9XVMo5RfdU2IBTpO614RD47lFaoQQ==,1,116519514,0.9302747,0.9998427044938037,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKSR_0d1hg2e52NQalhg66LnmxEWUvYT-PLIo0WmXWztPlVZ2olnxQNQjXhhRjA9o9RYinPuh3yQx3oTdRyP8ozClSnndHPNmFU3uAVWMU2fY=,2022-08-17 13:37:52-03:00,"@filipebarrost De qualquer forma, o auxílio não é do Bolsonaro, nem de nenhum político. É do estado...autopromoção com política pública é ilegal, inclusive.",gAAAAABj7UmKQWcusWlIUFCTfUwpnHuRKOQAvdSmB1q8YGr9E3038z9zTl4_XFRKXMmN4iKT2S8m4s94arZkWX-_aB9rDkeajY5sOQKANDaSHsvAgYmcF2MPyNGBACqeP9LWxnTD_j-1cAq_Ta7pNy_KDdB6uJiY67Qwtsi19fhZrhoNCETTR8A=,0,225925013,0.0073439837,0.9999263044807344,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKyMCvNx7ZRGnD_z_tq-lYt7oiyrMz2ZF2X3EmAbyW0sghFjjaODq0EXGRth0hoV44ud9JK05FSBUuC9WrGeNGqPL6fPZFHxVnDMUEfxZ6Mjs=,2022-08-17 12:51:56-03:00,@pauloteixeira13 de bunda,gAAAAABj7UmKUNvL1kAUDi1_IC1wGcdPqokktqy3KSj-0ejuOVhr4h-4ZhF8LVidwUKC_cbRaJLOOhuOMIPJarPrueYICIOJawl4YSA0eM8vv8lP5jjPAYgoNXk_BkgEU8bxbS7u9nix0q1GS9dsERrwNt7Db7ZsnA==,1,25562342,0.83709204,0.40839881905371134,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKgnvCs3YiBKwhcT_QOwO-pj88q9EfUlmPbFdaYgImhFXu62hrQv8Wz8xAY74926XSI_I52udydGejuEthLvrcOmC3YK2muJwcV7fsFxwHhgs=,2022-08-17 15:05:31-03:00,@marceloramosam Lógico aí tá todes amigues,gAAAAABj7UmKRcmQDWdvc0eNFmZBEskrJ7C1HIA1ti0AsvJxd4NZObEq9khYSeYPd2HU0wpOIYxZ9brwoWFKuHUQ6Y6ZD7rEf1NJxgfYfjNX3sLJ0pnFDslahgrnhXrsGZPAlFH-WlW-YI0I6acW_S4OPdflMkx2lfYoOJjcWOz21-YFQOBbtb0=,1,42228966,0.2205549,0.6320486708971383,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKYjfFx0MaVGIt7wokLznnB2A8TIHzg1C1x4elv3X08TElROTyDv6uqJUfj-EVsphnMghpWozhdH71hKZURjBzs4mh6zYlhbLXe-sWAl_fVNU=,2022-08-17 13:51:14-03:00,"@marceloramosam El padrinho gosta de ser paparicado, pixulé não sai de graça né.",gAAAAABj7UmKvO3ewJNVILYgwwEtG8uo6yGBXLgQvfnUtD_uT4q483oLjxrrZdTwhfbe_wPwO2AY70FsRBUfox6sOlRl5i95wd7-4XZNxljTb7pfnnrW_y3dNCamffCPktdnT8xv2c1QWNDdjZXXmaLqjN28L58yZQ==,1,42228966,0.21077271,0.9989995217884391,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKmsKROjBleWpoyoS7BEBB9KRpzDhpv93Ocqoiv7XhclWndHwXe0KONvbOSpVtcR9z1spLT1Ytge5tccyIBqvf4RNH5gZM7i2gsQaUOE5X4vA=,2022-08-17 14:30:35-03:00,"@CarolDeToni 2018 TEVE RECORDE DE ABSTENÇÃO.
2022 P/QUE O MAL PREVALEÇA, BASTA O BEM NÃO FAÇA NADA, COMO QUEREM, (GALERA DO VOTO NULO DO MBL, LULA, MILITANTES DA TETA ESTATAL E BOZONARO) P/DEIXAR O MAL PASSAR.

ISSO QUE BOLSONARO E LULA QUEREM.NÃO PODEMOS ACEITAR ISSO.
https://t.co/RyUsIhmZCY",gAAAAABj7UmKeUqE4vWXNOXy6reB5XqgfLc1gt3_2VV2z5RorbhmoSOFiMuLkTf-mBHejc9fSV6cnZiF6D0MGr39RskawHNpKr-oeXvkRa8LvkaF89nsYlmux0l-q7EG1k0clxHOfkkO6nBg7R6LOrpFgz5E3Hd8CA==,1,4566967516,0.026321258,0.9998909912203154,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmK1e3i_h8gYpHjG1ApCWDV1m4RdyGbfzrtLUZnSlBU0J7sroFwIucal3AmGHxAvgbdI5JSij1aHafhElCo8Pp9l8RxGgfmd1QVsP9KUeLjDn8=,2022-08-17 13:23:52-03:00,@VaiPaolla @LulaOficial Para de usa droga. Vcs estão cada vez mais tapados e burros.,gAAAAABj7UmKR_FjLYeaiZ-qhDB-iwhiz-dpp-1C_1rPdT5wEtxg6ve6nm7t5vmfkRpf-W20jFzlCqgAfZaXKRTM7Ey8AY_rrRXetYET3uEW1WhRbsjrKufzYfFbfCw6niSeiMjRbt_sGptRioMWmP9f-UTa-zadnQ==,1,51335024,0.38025343,0.9090169759525157,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
gAAAAABj7UmKSF2osJB0pxga-5mqRf1efh5AY-xqJ4wWp8vnizY5yD6Gd-_Kibbwq9214MnE_PzvnTgpDNL4sF87f_7klbZ1HzLZxj8D_4jc979CgHdc7s0=,2022-08-17 16:00:22-03:00,"@leosiqueirabr HAHHAHA mete o moralismo aí no final manda um doc do brasil paralelo HAAHAHA você é muito otário, bolsonarista enrustido, olavista patético",gAAAAABj7UmKOwTug6pKQt1ZPEm0vznbajSH_c_bGdaI1xV7a9W7f4tK5L_H3JANbXXiipSPoOc9AxAv9ru4Nd5-_ZYc0Fkgai9uATFtmDcxx8NT7Xm-8wa6Yjciv4Ydi2zlMWFP7rApIhUtI42goK2AlspmLKw5ywnaQeJcyYKTppaSWTCZKqw=,1,1056568434266439680,0.725835,0.9790350380050029,../dados/processados/amostra_tweets_escolhidos_para_anotacao.csv
